"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
1577,387.86,2.6025,0.44822,-12.868,0.024945,0.1601,0.0056395,0.00079003,0.83347,2.681,-4.6436,0.54912
282,293.15,0,0,0,0.025046,0.18483,0.0066894,0.00085711,0.80762,2.875,-4.9797,0.54912
1578,387.85,2.486,0.89331,-12.868,0.024946,0.1601,0.0056396,0.00078999,0.83347,3.4466,-4.1075,0.54912
295,293.15,0,0,0,0.025047,0.18483,0.0066896,0.00085706,0.80762,3.696,-4.4048,0.54912
1579,387.85,2.2945,1.3126,-12.869,0.024946,0.1601,0.0056399,0.00078995,0.83347,4.1075,-3.4466,0.54912
308,293.15,0,0,0,0.025047,0.18483,0.0066898,0.00085702,0.80762,4.4048,-3.696,0.54912
1580,387.85,2.0321,1.6928,-12.869,0.024946,0.16011,0.0056401,0.00078994,0.83346,4.6436,-2.681,0.54912
321,293.15,0,0,0,0.025046,0.18483,0.0066901,0.000857,0.80762,4.9797,-2.875,0.54912
1581,387.86,1.7067,2.0207,-12.868,0.024945,0.16011,0.0056402,0.00078995,0.83346,5.0386,-1.8339,0.54912
334,293.15,0,0,0,0.025045,0.18484,0.0066903,0.00085701,0.80762,5.4032,-1.9666,0.54912
1582,387.86,1.3294,2.2858,-12.867,0.024945,0.16011,0.0056403,0.00078997,0.83346,5.2805,-0.9311,0.54912
347,293.15,0,0,0,0.025045,0.18484,0.0066904,0.00085703,0.80761,5.6626,-0.99848,0.54912
1583,387.86,0.91222,2.481,-12.867,0.024945,0.16011,0.0056403,0.00078998,0.83346,5.362,-2.0539e-15,0.54912
360,293.15,0,0,0,0.025045,0.18484,0.0066904,0.00085704,0.80761,5.75,-2.2205e-15,0.54912
1584,387.86,0.46784,2.6007,-12.868,0.024945,0.16011,0.0056403,0.00078997,0.83346,5.2805,0.9311,0.54912
373,293.15,0,0,0,0.025045,0.18484,0.0066904,0.00085704,0.80761,5.6626,0.99848,0.54912
1585,387.86,0.0097716,2.642,-12.868,0.024945,0.16011,0.0056403,0.00078995,0.83346,5.0386,1.8339,0.54912
386,293.15,0,0,0,0.025046,0.18484,0.0066903,0.00085702,0.80761,5.4032,1.9666,0.54912
1586,387.85,-0.44878,2.6044,-12.869,0.024946,0.16011,0.0056402,0.00078994,0.83346,4.6436,2.681,0.54912
399,293.15,0,0,0,0.025047,0.18483,0.0066903,0.000857,0.80762,4.9797,2.875,0.54912
1587,387.85,-0.895,2.4885,-12.869,0.024946,0.16011,0.0056402,0.00078993,0.83346,4.1075,3.4466,0.54912
412,293.15,0,0,0,0.025047,0.18483,0.0066902,0.00085699,0.80762,4.4048,3.696,0.54912
1588,387.85,-1.3151,2.2962,-12.869,0.024946,0.1601,0.0056401,0.00078995,0.83347,3.4466,4.1075,0.54912
425,293.15,0,0,0,0.025046,0.18483,0.0066901,0.00085702,0.80762,3.696,4.4048,0.54912
1589,387.85,-1.6949,2.0329,-12.868,0.024945,0.1601,0.0056399,0.00079,0.83347,2.681,4.6436,0.54912
438,293.15,0,0,0,0.025045,0.18483,0.0066899,0.00085706,0.80762,2.875,4.9797,0.54912
1590,387.86,-2.0221,1.7071,-12.867,0.024944,0.1601,0.0056397,0.00079004,0.83347,1.8339,5.0386,0.54912
451,293.15,0,0,0,0.025044,0.18483,0.0066898,0.00085712,0.80762,1.9666,5.4032,0.54912
1591,387.86,-2.2868,1.3295,-12.866,0.024943,0.1601,0.0056396,0.00079008,0.83347,0.9311,5.2805,0.54912
464,293.15,0,0,0,0.025044,0.18484,0.0066896,0.00085716,0.80762,0.99848,5.6626,0.54912
1592,476.43,5.1713,-1.3963,-17.346,0.024959,0.14204,0.0047155,0.00076973,0.85248,0.86373,-4.8984,0.54912
1593,476.43,-4.3866,3.0817,-17.346,0.024959,0.14204,0.0047157,0.00076972,0.85247,0.86373,4.8984,0.54912
1594,564.86,7.8058,-2.2653,-16.608,0.025234,0.12722,0.0038073,0.00078512,0.86819,0.79635,-4.5163,0.54912
1595,564.85,-6.5659,4.7996,-16.608,0.025234,0.12722,0.0038075,0.0007851,0.86819,0.79635,4.5163,0.54912
1596,654.25,10.396,-2.4508,-12.277,0.026029,0.11469,0.0029297,0.00082364,0.88156,0.72897,-4.1342,0.54912
1597,654.24,-8.9368,5.8603,-12.277,0.026029,0.11469,0.0029298,0.00082363,0.88156,0.72897,4.1342,0.54912
1598,654.24,10.661,-0.61195,-12.278,0.02603,0.11469,0.0029298,0.00082362,0.88156,1.4358,-3.9448,0.54912
1599,654.22,10.606,1.2432,-12.279,0.026031,0.11469,0.0029299,0.00082358,0.88156,2.099,-3.6356,0.54912
1600,654.2,10.234,3.062,-12.28,0.026032,0.11469,0.0029301,0.00082354,0.88156,2.6984,-3.2159,0.54912
1601,654.19,9.5515,4.7939,-12.281,0.026033,0.11469,0.0029304,0.00082351,0.88155,3.2159,-2.6984,0.54912
1602,654.2,8.5717,6.3867,-12.281,0.026031,0.11469,0.0029304,0.00082352,0.88155,3.6356,-2.099,0.54912
1603,654.23,7.3261,7.7815,-12.28,0.02603,0.11469,0.0029303,0.00082355,0.88155,3.9448,-1.4358,0.54912
1604,654.24,5.8604,8.9347,-12.279,0.02603,0.11469,0.0029301,0.00082358,0.88156,4.1342,-0.72897,0.54912
